state,DEM_votes,per_capita_income,REP_votes,normalized_election_outcome,state_id
Delaware,296268,29819.300971108903,200603,0.5962674416498447,10
Florida,5294767,26236.408777970282,5667474,0.483000419348562,12
Georgia,2472182,25181.947591830205,2458010,0.5014372665405323,13
Hawaii,366070,29304.93054556499,196800,0.6503633165739869,15
Idaho,287031,22568.556385644744,554128,0.34123275147742577,16
Illinois,4148322,29666.606357804954,2788357,0.5980270962516789,17
Indiana,1241503,24635.173903326577,1729110,0.41792821885583886,18
Iowa,758416,27027.22121641651,897149,0.4581010108331597,19
Kansas,551199,26928.437175112373,753370,0.42251425566604756,20
Kentucky,772223,23461.898529188224,1326347,0.3679758121006209,21
Louisiana,856034,24441.930489661936,1255776,0.4053555954370895,22
Maine,420357,26823.8587682185,341949,0.5514281666417423,23
Maryland,1692326,36354.42716957084,931069,0.6450900455326019,24
Massachusetts,2271849,35763.43888441253,1131115,0.6676088844901092,25
Michigan,2795975,25680.878162813522,2648577,0.5135362836097442,26
Minnesota,1718739,30912.63962271913,1485345,0.536421329777871,27
Mississippi,491224,20618.343939880502,731049,0.4018938485919267,28
Missouri,1242851,25649.40046963782,1711848,0.4206354014402144,29
Montana,244783,25373.48348812383,343590,0.41603370650930616,30
Nebraska,371918,26898.78230855901,553781,0.40176990576850574,31
Nevada,703486,26589.50088715804,669890,0.512231173400438,32
New Hampshire,424937,33133.890848115974,365660,0.5374887584951625,33
New Jersey,2410404,36027.04017682158,1752127,0.5790717234298075,34
New Mexico,499782,23762.937440873247,401361,0.5546089799288237,35
New York,3777598,32381.72527780367,2876104,0.5677437913510404,36
North Carolina,2681124,25284.017888944385,2754822,0.4932212350895318,37
North Dakota,114901,29731.489746745705,235585,0.32783335140347974,38
Ohio,2603677,26045.51946043106,3074400,0.45854908272642303,39
Oklahoma,503890,24208.433618297284,1020280,0.3305996050309349,40
Oregon,1333467,26809.54728862588,952435,0.5833439053817705,41
Pennsylvania,3417479,28502.060912009463,3351976,0.5048381295096873,42
Rhode Island,306192,30469.311129177186,199830,0.605096221112916,44
South Carolina,1091541,23942.96395697754,1385103,0.44073391250417904,45
South Dakota,150471,25740.199548472006,261043,0.365652201383185,46
Tennessee,1139376,24408.76533377318,1849820,0.3811647011437189,47
Texas,5218943,26018.46934631955,5866019,0.47081289047269625,48
Utah,554028,23873.495430705698,848863,0.39491877843681367,49
Vermont,242841,29166.645635752444,112591,0.6832277341376128,50
Virginia,2413317,33493.395672299506,1962708,0.5514861089687559,51
Washington,2356584,30742.55745156703,1572345,0.5998031524621595,53
West Virginia,235657,22966.123007478887,544826,0.3019373900520575,54
Wisconsin,1630619,27522.486134170522,1610073,0.5031700019625438,55
Wyoming,73491,28901.833388291176,193559,0.27519565624414905,56
Alabama,843473,23680.1193502688,1434159,0.3703289205631112,01
Arkansas,419258,22169.701768512594,758183,0.35607559104872344,05
California,10760110,29527.209124436344,5750654,0.6517027316240485,06
Colorado,1803873,31109.469985421918,1364160,0.5693984248270141,08
Connecticut,1080387,37892.62283019599,714973,0.601766219588272,09
Arizona,1672054,25358.133774186867,1661677,0.5015563643257359,04
Alaska,,,,,02
District of Columbia,,,,,11
